angle,g1,g2,g3,g4,description
Juxtaposition,39,38,51,57,The Juxtaposition Cross of Provocation
Left,39,38,51,57,The Left Angle Cross of Individualism
Right,40,37,16,9,The Right Angle Cross of Planning 3
Juxtaposition,40,37,35,5,The Juxtaposition Cross of Denial
Left,40,37,35,5,The Left Angle Cross of Migration 2
Right,41,31,28,27,The Right Angle Cross of the Unexpected 4
Juxtaposition,41,31,44,24,The Juxtaposition Cross of Fantasy
Left,41,31,44,24,The Left Angle Cross of the Alpha 2
Right,42,32,61,62,The Right Angle Cross of Maya
Juxtaposition,42,32,60,56,The Juxtaposition Cross of Completion
Left,42,32,60,56,The Left Angle Cross of Limitation
Right,43,23,4,49,The Right Angle Cross of Explanation 4
Juxtaposition,43,23,29,30,The Juxtaposition Cross of Insight
Left,43,23,29,30,The Left Angle Cross of Dedication 2
Right,44,24,33,19,The Right Angle Cross of the Four Ways 3
Juxtaposition,44,24,7,13,The Juxtaposition Cross of Alertness
Left,44,24,7,13,The Left Angle Cross of Incarnation 2
Right,45,26,22,47,The Right Angle Cross of Rulership 2
Juxtaposition,45,26,36,6,The Juxtaposition Cross of Possession
Left,45,26,36,6,The Left Angle Cross of Confrontation
Right,46,25,15,10,The Right Angle Cross of the Vessel of Love 3
Juxtaposition,46,25,52,58,The Juxtaposition Cross of Serendipity
Left,46,25,52,58,The Left Angle Cross of Healing 2
Right,47,22,45,26,The Right Angle Cross of Rulership 3
Juxtaposition,47,22,12,11,The Juxtaposition Cross of Oppression
Left,47,22,12,11,The Left Angle Cross of Informing 2
Right,48,21,39,38,The Right Angle Cross of Tension 3
Juxtaposition,48,21,53,54,The Juxtaposition Cross of Depth
Left,48,21,53,54,The Left Angle Cross of Endeavour 2
Right,49,4,43,23,The Right Angle Cross of Explanation
Juxtaposition,49,4,14,8,The Juxtaposition Cross of Principles
Left,49,4,14,8,The Left Angle Cross of Revolution
Right,50,3,56,60,The Right Angle Cross of Laws 3
Juxtaposition,50,3,31,41,The Juxtaposition Cross of Values
Left,50,3,31,41,The Left Angle Cross of Wishes 2
Right,51,57,54,53,The Right Angle Cross of Penetration
Juxtaposition,51,57,61,62,The Juxtaposition Cross of Shock
Left,51,57,61,62,The Left Angle Cross of the Clarion
Right,52,58,17,18,The Right Angle Cross of Service 2
Juxtaposition,52,58,21,48,The Juxtaposition Cross of Stillness
Left,52,58,21,48,The Left Angle Cross of Demands
Right,53,54,51,57,The Right Angle Cross of Penetration 2
Juxtaposition,53,54,42,32,The Juxtaposition Cross of Beginnings
Left,53,54,42,32,The Left Angle Cross of Cycles
Right,54,53,57,51,The Right Angle Cross of Penetration 4
Juxtaposition,54,53,32,42,The Juxtaposition Cross of Ambition
Left,54,53,32,42,The Left Angle Cross of Cycles 2
Right,55,59,34,20,The Right Angle Cross of the Sleeping Phoenix
Juxtaposition,55,59,9,16,The Juxtaposition Cross of Moods
Left,55,59,9,16,The Left Angle Cross of Spirit
Right,56,60,3,50,The Right Angle Cross of Laws 2
Juxtaposition,56,60,27,28,The Juxtaposition Cross of Stimulation
Left,56,60,27,28,The Left Angle Cross of Distraction
Right,57,51,53,54,The Right Angle Cross of Penetration 3
Juxtaposition,57,51,62,61,The Juxtaposition Cross of Intuition
Left,57,51,62,61,The Left Angle Cross of the Clarion 2
Right,58,52,18,17,The Right Angle Cross of Service 4
Juxtaposition,58,52,48,21,The Juxtaposition Cross of Vitality
Left,58,52,48,21,The Left Angle Cross of Demands 2
Right,59,55,20,34,The Right Angle Cross of the Sleeping Phoenix 3
Juxtaposition,59,55,16,9,The Juxtaposition Cross of Strategy
Left,59,55,16,9,The Left Angle Cross of Spirit 2
Right,60,56,50,3,The Right Angle Cross of Laws 4
Juxtaposition,60,56,28,27,The Juxtaposition Cross of Limitation
Left,60,56,28,27,The Left Angle Cross of Distraction 2
Right,61,62,32,42,The Right Angle Cross of Maya 4
Juxtaposition,61,62,50,3,The Juxtaposition Cross of Thinking
Left,61,62,50,3,The Left Angle Cross of Obscuration 2
Right,62,61,42,32,The Right Angle Cross of Maya 2
Juxtaposition,62,61,3,50,The Juxtaposition Cross of Detail
Left,62,61,3,50,The Left Angle Cross of Obscuration
Right,63,64,5,35,The Right Angle Cross of Consciousness
Juxtaposition,63,64,26,45,The Juxtaposition Cross of Doubts
Left,63,64,26,45,The Left Angle Cross of Dominion
Right,64,63,35,5,The Right Angle Cross of Consciousness 3
Juxtaposition,64,63,45,26,The Juxtaposition Cross of Confusion
Left,64,63,45,26,The Left Angle Cross of Dominion 2
